model,output,metric,value
RandomForest,Risk,shscore,0.1705270023445784
RandomForest,Risk,roc_auc,0.5
RandomForest,Risk,balanced_accuracy,0.5
RandomForest,Risk,jaccard,0.0
MLP,Risk,accuracy,0.8191489361702128
MLP,Risk,precision,0.0
MLP,Risk,recall,0.0
MLP,Risk,f1,0.0
MLP,Risk,train_time,2100319464999.0
MLP,Risk,predict_time,75911709.0
MLP,Risk,logloss,0.4514898239632907
MLP,Risk,shscore,0.1747467619172342
MLP,Risk,roc_auc,0.5
MLP,Risk,balanced_accuracy,0.5
MLP,Risk,jaccard,0.0
CatBoost,Risk,accuracy,0.7553191489361702
CatBoost,Risk,precision,0.0
CatBoost,Risk,recall,0.0
CatBoost,Risk,f1,0.0
CatBoost,Risk,train_time,149450114734.0
CatBoost,Risk,predict_time,91513083.0
CatBoost,Risk,logloss,0.8794164284740693
CatBoost,Risk,shscore,0.1610637398149949
CatBoost,Risk,roc_auc,0.461038961038961
CatBoost,Risk,balanced_accuracy,0.461038961038961
CatBoost,Risk,jaccard,0.0
ExtraTrees,Risk,accuracy,0.8085106382978723
ExtraTrees,Risk,precision,0.3333333333333333
ExtraTrees,Risk,recall,0.0588235294117647
ExtraTrees,Risk,f1,0.1
ExtraTrees,Risk,train_time,29087102388.0
ExtraTrees,Risk,predict_time,30099416.0
ExtraTrees,Risk,logloss,0.4588515064723572
ExtraTrees,Risk,shscore,0.2367763330767307
ExtraTrees,Risk,roc_auc,0.5164247517188694
ExtraTrees,Risk,balanced_accuracy,0.5164247517188694
ExtraTrees,Risk,jaccard,0.0526315789473684
Dummy,Risk,accuracy,0.8191489361702128
Dummy,Risk,precision,0.0
Dummy,Risk,recall,0.0
Dummy,Risk,f1,0.0
Dummy,Risk,train_time,8033267296.0
Dummy,Risk,predict_time,177166.0
Dummy,Risk,logloss,6.518533059733952
Dummy,Risk,shscore,0.2880892528571789
Dummy,Risk,roc_auc,0.5
Dummy,Risk,balanced_accuracy,0.5
Dummy,Risk,jaccard,0.0
HGB,Risk,accuracy,0.7872340425531915
HGB,Risk,precision,0.2
HGB,Risk,recall,0.0588235294117647
HGB,Risk,f1,0.0909090909090909
HGB,Risk,train_time,2479368119423.0
HGB,Risk,predict_time,136172000.0
HGB,Risk,logloss,1.190433490525569
HGB,Risk,shscore,0.2632413839560662
HGB,Risk,roc_auc,0.5034377387318564
HGB,Risk,balanced_accuracy,0.5034377387318564
HGB,Risk,jaccard,0.0476190476190476
LGBM,Risk,accuracy,0.7659574468085106
LGBM,Risk,precision,0.0
LGBM,Risk,recall,0.0
LGBM,Risk,f1,0.0
LGBM,Risk,train_time,150004131569.0
LGBM,Risk,predict_time,2083375.0
LGBM,Risk,logloss,1.5613432609474134
LGBM,Risk,shscore,0.2000757958744926
LGBM,Risk,roc_auc,0.4675324675324675
LGBM,Risk,balanced_accuracy,0.4675324675324675
LGBM,Risk,jaccard,0.0
XGB,Risk,accuracy,0.7872340425531915
XGB,Risk,precision,0.0
XGB,Risk,recall,0.0
XGB,Risk,f1,0.0
XGB,Risk,train_time,52234589524.0
XGB,Risk,predict_time,2312000.0
XGB,Risk,logloss,1.0656860108304456
XGB,Risk,shscore,0.2152492835237793
XGB,Risk,roc_auc,0.4805194805194805
XGB,Risk,balanced_accuracy,0.4805194805194805
XGB,Risk,jaccard,0.0
ExtraTree,Risk,accuracy,0.8191489361702128
ExtraTree,Risk,precision,0.0
ExtraTree,Risk,recall,0.0
ExtraTree,Risk,f1,0.0
ExtraTree,Risk,train_time,5200676377.0
ExtraTree,Risk,predict_time,1877459.0
ExtraTree,Risk,logloss,0.4782945888034511
ExtraTree,Risk,shscore,0.1747481857221919
ExtraTree,Risk,roc_auc,0.5
ExtraTree,Risk,balanced_accuracy,0.5
ExtraTree,Risk,jaccard,0.0
SVC,Risk,accuracy,0.7553191489361702
SVC,Risk,precision,0.1538461538461538
SVC,Risk,recall,0.1428571428571428
